obs,country,country_map,code,region,continent,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,hief,refug,richoil,oilrents
1,American Samoa,American Samoa,ASM,East Asia & Pacific,Pacific,41.80200943,NA,NA,NA,NA,1.181357,1.218502,Maintain,0,NA,NA,NA,NA,NA,0,0
2,Antigua and Barbuda,Antigua,ATG,Latin America & Caribbean,America,30.58550611,18595.0849,NA,NA,22,1.004725,0.6896325,Maintain,0,16.2285575,5.27965546,NA,NA,15,0,0
3,Argentina,Argentina,ARG,Latin America & Caribbean,America,4.805292335,23933.88661,5.776110172,7.75,24.5,0.0147854,-0.5470577,Maintain,0,18.09837976,10.22933769,9,15.8,3187,0,0.736965842
4,Aruba,Aruba,ABW,Latin America & Caribbean,America,34.76210186,37276.08042,5.975709915,NA,NA,1.230921,1.297111,NA,0,17.04936854,NA,NA,NA,NA,0,0
5,Australia,Australia,AUS,East Asia & Pacific,Pacific,28.21840969,48017.48845,5.311270237,6.053999901,2.5,0.8849798,1.882113,Maintain,0,18.0607423,9.32331181,10,27.6,36917,0,0.20670982
6,Austria,Austria,AUT,Europe & Central Asia,Europe,17.46572625,53116.03809,5.456580162,5.72300005,22,1.143079,1.519276,Raise,0,19.76169058,10.36746693,10,24.8,72198,0,0.032460639
7,"Bahamas, The",Bahamas,BHS,Latin America & Caribbean,America,15.28430309,35400.08185,NA,12,28.5,0.9074765,1.135789,Maintain,0,12.34245312,5.20896244,NA,NA,7,0,0
8,Barbados,Barbados,BRB,Latin America & Caribbean,America,12.12990166,15382.92743,NA,11.35000038,19,1.135361,1.490528,Lower,0,13.63574443,6.7748456,NA,NA,NA,0,0.09799543
9,Belgium,Belgium,BEL,Europe & Central Asia,Europe,12.28353319,49631.72428,6.451570034,8.482000351,4.5,0.5870946,1.573307,Maintain,0,23.61508745,10.42703342,8,59.2,35302,0,0
10,Belize,Belize,BLZ,Latin America & Caribbean,America,14.99080123,7259.024205,6.88888979,7.578000069,43,0.0430976,-0.222516,Lower,0,15.59917044,5.81823015,NA,NA,34,0,0.664418576
11,Bermuda,Bermuda,BMU,North America,America,30.84639701,77842.7539,1.698600054,NA,NA,0.983049,1.218502,NA,0,12.50314635,NA,NA,NA,NA,NA,NA
12,Bolivia,Bolivia,BOL,Latin America & Caribbean,America,1.333267442,7984.413455,NA,3.065999985,49,-0.2684872,-0.6963719,Maintain,0,17.49525821,6.55064964,7,57.2,762,0,1.176927031
13,Brazil,Brazil,BRA,Latin America & Caribbean,America,0.3433132,15059.23437,6.24105978,8.427000046,86,-0.3314581,-0.3964888,Raise,0,19.77683664,8.87090969,8,55.9,8703,0,1.071437119
14,British Virgin Islands,NA,VGB,Latin America & Caribbean,America,57.46920344,NA,5.134789944,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
15,Canada,Canada,CAN,North America,America,21.80166365,47770.41561,NA,6.906000137,1.5,1.274698,1.886581,Maintain,0,20.87782513,10.68328094,10,73,135890,0,0.038191728
16,Cayman Islands,Cayman Islands,CYM,Latin America & Caribbean,America,39.56509414,67116.93437,NA,NA,NA,1.153418,1.019122,NA,0,NA,NA,NA,NA,10,0,0
17,Channel Islands,NA,CHI,Europe & Central Asia,Europe,50.28162647,NA,NA,8.083999634,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
18,Chile,Chile,CHL,Latin America & Caribbean,America,2.615513217,23633.66384,4.875309944,6.507999897,7.5,0.4334392,1.27997,Maintain,0,12.99389253,8.30269146,10,43.9,1840,0,0.015163399
19,Colombia,Colombia,COL,Latin America & Caribbean,America,0.276047227,14237.58381,4.470389843,8.298999786,12,-1.069147,-0.2981746,Maintain,0,14.81162979,7.52338552,7,63.9,212,0,2.712069872
20,Costa Rica,Costa Rica,CRI,Latin America & Caribbean,America,8.771009911,18024.49197,7.082540035,8.998999596,23,0.6820255,0.7484275,Maintain,0,17.47982898,7.82285929,10,39.8,3603,0,0
21,Cuba,Cuba,CUB,Latin America & Caribbean,America,0.117089665,NA,NA,2.400000095,NA,0.6441017,0.0704845,Maintain,0,32.20593805,12.81401348,-7,51.7,300,NA,0.439099371
22,Curacao,Curacao,CUW,Latin America & Caribbean,America,23.92511593,26548.7,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,46,0,0
23,Czech Republic,Czech Republic,CZE,Europe & Central Asia,Europe,3.84222568,36306.91095,5.788849831,5.046000004,30.5,0.9791891,0.4337359,NA,0,18.91525406,7.24275684,9,26.2,3640,0,0.010419261
24,Denmark,Denmark,DNK,Europe & Central Asia,Europe,10.09899135,53045.73861,NA,6.168000221,3.5,0.8976498,2.211076,NA,0,25.46919943,10.22716618,10,17.7,27312,1,0.389160749
25,Dominica,Dominica,DMA,Latin America & Caribbean,America,9.246009906,11872.40739,3.408580065,NA,12,1.077941,0.6234236,Maintain,0,NA,5.1857729,NA,NA,NA,0,0
26,Dominican Republic,Dominican Republic,DOM,Latin America & Caribbean,America,3.947079853,15328.35206,NA,7.605000019,14.5,0.2367064,-0.8184461,Maintain,0,10.28874596,5.78464127,8,45.3,615,0,0
27,Ecuador,Ecuador,ECU,Latin America & Caribbean,America,2.400299101,11896.37663,4.998700142,3.615999937,50.5,-0.1439559,-0.6712533,Lower,0,14.42952263,8.58845711,5,52.8,121511,0,4.329274975
28,El Salvador,El Salvador,SLV,Latin America & Caribbean,America,0.686271613,8143.016917,3.909879923,3.997999907,16.5,-0.0169974,-0.4236757,NA,0,16.49739912,7.63034058,8,16.5,46,0,0
29,Faroe Islands,Faroe Islands,FRO,Europe & Central Asia,Europe,11.44629557,NA,NA,NA,NA,NA,NA,NA,0,28.62615471,NA,NA,NA,NA,0,0
30,Finland,Finland,FIN,Europe & Central Asia,Europe,5.739683257,44973.7946,7.032080173,9.376000404,17,1.040587,2.275324,Raise,0,24.38441706,9.64523888,10,13.8,12692,0,0
31,France,France,FRA,Europe & Central Asia,Europe,12.08847938,43553.39928,NA,10.35900021,4,0.1067064,1.305666,Lower,0,23.80787761,11.46616745,9,NA,273117,0,0.005208218
32,Germany,Germany,DEU,Europe & Central Asia,Europe,14.8790513,51375.08598,4.834980011,4.624000072,10.5,0.6998243,1.837888,Raise,0,19.6917566,11.17801952,10,18.9,316098,0,0.010924469
33,Greece,Greece,GRC,Europe & Central Asia,Europe,11.34237737,28051.40002,NA,24.89699936,13,-0.2302524,-0.0766138,Lower,0,20.29702735,8.01678371,10,16.7,24831,0,0.004796238
34,Greenland,Greenland,GRL,Europe & Central Asia,America,10.69483501,NA,NA,NA,NA,1.943138,1.19055,NA,0,44.19881288,NA,NA,NA,NA,0,0
35,Grenada,Grenada,GRD,Latin America & Caribbean,America,6.606131524,15142.61521,NA,NA,15,0.7907085,0.5560133,NA,0,NA,4.64675617,NA,NA,NA,0,0
36,Guatemala,Guatemala,GTM,Latin America & Caribbean,America,0.467187672,8125.364862,3.030329943,2.506000042,26.5,-0.6550602,-0.7331991,NA,0,11.08810874,5.85707808,8,51.1,222,0,0.127778473
37,Guyana,Guyana,GUY,Latin America & Caribbean,America,2.005514382,11261.82838,5.214829922,12.00399971,18,-0.1396508,-0.6353234,Maintain,0,NA,5.36894894,7,69.5,12,0,0
38,Haiti,Haiti,HTI,Latin America & Caribbean,America,0.3690482,2941.815531,3.1572299,13.96500015,97,-0.6708382,-1.237522,Maintain,0,8.25363057,8.62852955,0,10.5,NA,0,0
39,Honduras,Honduras,HND,Latin America & Caribbean,America,0.347613516,5283.409956,6.412970066,6.146999836,41,-0.4689144,-0.5667076,Maintain,0,14.30524677,7.48378992,7,22.9,28,0,0
40,Hungary,Hungary,HUN,Europe & Central Asia,Europe,4.562465252,27841.81248,4.518660069,6.813000202,7,0.7462977,0.1486354,Raise,0,19.72962832,6.88948917,10,23.2,4383,0,0.076083132
41,Iceland,Iceland,ISL,Europe & Central Asia,Europe,11.3901495,51739.42676,7.512909889,3.979000092,12,1.308164,1.93911,Maintain,0,23.33316287,8.13130188,NA,NA,170,0,0
42,Ireland,Ireland,IRL,Europe & Central Asia,Europe,15.91693657,71243.42071,3.758290052,9.906000137,12,0.9084555,1.615371,Maintain,0,12.2501386,7.31716299,10,17.4,6108,0,0
43,Isle of Man,Isle of Man,IMN,Europe & Central Asia,Europe,51.51629073,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
44,Italy,Italy,ITA,Europe & Central Asia,Europe,9.680767742,40444.80765,4.073629856,11.89599991,11,0.3759197,0.0162641,Maintain,0,19.11034189,8.85689163,10,11,118036,0,0.045311862
45,Jamaica,Jamaica,JAM,Latin America & Caribbean,America,0.829367047,9470.797195,5.455770016,13.51099968,3,0.0964845,-0.2316051,Maintain,0,13.81720871,5.62562609,9,21,13,0,0
46,Luxembourg,Luxembourg,LUX,Europe & Central Asia,Europe,43.96413394,110951.9888,3.918200016,6.669000149,16.5,1.439398,2.096687,Maintain,0,16.50436501,5.28378248,10,NA,1306,0,0
