obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
1,Afghanistan,Afghanistan,AFG,South Asia,1.175546927,2068.265904,3.255800009,11.38700008,8.5,-2.571222,-1.341994,Maintain,0,NA,10.10534763,-1,1,76.3,257553,0,0.00107623
2,Albania,Albania,ALB,Europe & Central Asia,1.98903641,12125.93148,3.437969923,17.07999992,5,0.3461291,-0.4790328,Maintain,0,11.11066552,4.89632177,9,3,13.9,109,0,1.352409002
4,American Samoa,American Samoa,ASM,East Asia & Pacific,41.80200943,NA,NA,NA,NA,1.181357,1.218502,Maintain,0,NA,NA,NA,NA,NA,NA,0,0
5,Andorra,Andorra,AND,Europe & Central Asia,59.7136492,NA,3.28034997,NA,NA,1.391288,1.218502,Maintain,0,NA,6.23245335,NA,NA,NA,NA,NA,NA
6,Angola,Angola,AGO,Sub-Saharan Africa,0.42700468,8036.41061,NA,7.282000065,36,-0.5008978,-1.394778,Maintain,0,16.43283225,2.60579467,-2,1,77.9,15547,0,10.29488886
7,Antigua and Barbuda,Antigua,ATG,Latin America & Caribbean,30.58550611,18595.0849,NA,NA,22,1.004725,0.6896325,Maintain,0,16.2285575,5.27965546,NA,NA,NA,15,0,0
8,Argentina,Argentina,ARG,Latin America & Caribbean,4.805292335,23933.88661,5.776110172,7.75,24.5,0.0147854,-0.5470577,Maintain,0,18.09837976,10.22933769,9,2,15.8,3187,0,0.736965842
9,Armenia,Armenia,ARM,Europe & Central Asia,6.335892888,11321.35576,2.80591011,18.26099968,5,-0.2523326,-0.5338237,Maintain,0,13.11159781,10.1176281,5,1,4.5,19314,0,0
10,Aruba,Aruba,ABW,Latin America & Caribbean,34.76210186,37276.08042,5.975709915,NA,NA,1.230921,1.297111,NA,0,17.04936854,NA,NA,NA,NA,NA,0,0
11,Australia,Australia,AUS,East Asia & Pacific,28.21840969,48017.48845,5.311270237,6.053999901,2.5,0.8849798,1.882113,Maintain,0,18.0607423,9.32331181,10,3,27.6,36917,0,0.20670982
12,Austria,Austria,AUT,Europe & Central Asia,17.46572625,53116.03809,5.456580162,5.72300005,22,1.143079,1.519276,Raise,0,19.76169058,10.36746693,10,3,24.8,72198,0,0.032460639
13,Azerbaijan,Azerbaijan,AZE,Europe & Central Asia,2.709061584,14853.91055,2.951679945,4.960000038,3.5,-0.7295656,-0.9299806,Maintain,0,12.40823832,4.10663605,-7,1,12.2,1279,0,12.0366039
14,"Bahamas, The",Bahamas,BHS,Latin America & Caribbean,15.28430309,35400.08185,NA,12,28.5,0.9074765,1.135789,Maintain,0,12.34245312,5.20896244,NA,NA,NA,7,0,0
16,Bangladesh,Bangladesh,BGD,South Asia,0.883753735,3700.111081,NA,4.377999783,19.5,-1.212018,-0.8083352,Maintain,0,5.404240381,2.46311474,1,1,2.5,231954,0,0.02924977
17,Barbados,Barbados,BRB,Latin America & Caribbean,12.12990166,15382.92743,NA,11.35000038,19,1.135361,1.490528,Lower,0,13.63574443,6.7748456,NA,3,NA,NA,0,0.09799543
18,Belarus,Belarus,BLR,Europe & Central Asia,11.40401056,18307.51967,4.787519932,5.914000034,9,0.1100165,-0.3350453,Raise,0,14.92176438,6.06533337,-7,1,30.9,1805,0,0.42067441
19,Belgium,Belgium,BEL,Europe & Central Asia,12.28353319,49631.72428,6.451570034,8.482000351,4.5,0.5870946,1.573307,Maintain,0,23.61508745,10.42703342,8,3,59.2,35302,0,0
20,Belize,Belize,BLZ,Latin America & Caribbean,14.99080123,7259.024205,6.88888979,7.578000069,43,0.0430976,-0.222516,Lower,0,15.59917044,5.81823015,NA,NA,NA,34,0,0.664418576
21,Benin,Benin,BEN,Sub-Saharan Africa,2.255540965,2945.973006,3.17298007,2.582000017,12.5,-0.013514,-0.5508218,NA,0,11.41138015,2.90741515,7,2,76.4,526,0,0.057611554
22,Bermuda,Bermuda,BMU,North America,30.84639701,77842.7539,1.698600054,NA,NA,0.983049,1.218502,NA,0,12.50314635,NA,NA,NA,NA,NA,NA,NA
23,Bhutan,Bhutan,BTN,South Asia,6.595769395,10086.19751,7.590099812,2.450000048,15,0.974715,1.022321,Maintain,0,18.25620434,3.65720773,5,2,65.1,NA,0,0
24,Bolivia,Bolivia,BOL,Latin America & Caribbean,1.333267442,7984.413455,NA,3.065999985,49,-0.2684872,-0.6963719,Maintain,0,17.49525821,6.55064964,7,2,57.2,762,0,1.176927031
25,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,Europe & Central Asia,0.91336484,12662.46,NA,27.69400024,82,-0.402437,-0.3939079,Maintain,0,21.9980801,9.33953667,NA,2,63.7,6789,0,0
26,Botswana,Botswana,BWA,Sub-Saharan Africa,7.100334367,16714.39782,NA,17.74699974,48,1.042092,0.852122,Maintain,0,20.57746506,5.72629929,8,3,39.5,2127,0,0
27,Brazil,Brazil,BRA,Latin America & Caribbean,0.3433132,15059.23437,6.24105978,8.427000046,86,-0.3314581,-0.3964888,Raise,0,19.77683664,8.87090969,8,2,55.9,8703,0,1.071437119
28,British Virgin Islands,NA,VGB,Latin America & Caribbean,57.46920344,NA,5.134789944,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,Brunei Darussalam,Brunei,BRN,East Asia & Pacific,24.27597191,63148.54887,NA,7.914000034,14.5,1.242662,0.5724573,Maintain,0,25.06167623,2.38708901,NA,NA,NA,NA,1,7.7316106
30,Bulgaria,Bulgaria,BGR,Europe & Central Asia,1.428196392,19605.02281,NA,9.142999649,25,0.0173222,-0.2646455,Raise,0,16.12741084,7.41338348,9,2,28.9,16543,0,0.01043978
31,Burkina Faso,Burkina Faso,BFA,Sub-Saharan Africa,3.892039853,1925.331225,3.67008996,6.418000221,13,-0.6111074,-0.277338,NA,0,15.94408026,5.82546854,6,1,76.7,34017,0,0
32,Burundi,Burundi,BDI,Sub-Saharan Africa,2.565632229,825.2059856,6.370540142,1.552000046,4,-1.939511,-1.25752,NA,0,22.42111499,6.57857561,-1,1,30.8,53356,0,0
33,Cabo Verde,Cape Verde,CPV,Sub-Saharan Africa,2.867232018,6266.845949,5.266910076,11.9090004,18,0.8678104,0.9501761,Maintain,0,18.85223395,4.81784487,10,3,NA,NA,0,0
34,Cambodia,Cambodia,KHM,East Asia & Pacific,0.474794451,3543.703553,NA,0.393000007,87,0.0619423,-1.117988,Maintain,0,5.397979837,6.19431591,2,1,15.8,74,0,0
35,Cameroon,Cameroon,CMR,Sub-Saharan Africa,1.636313704,3458.6939,2.768049955,3.506000042,16.5,-0.9896075,-1.074493,Maintain,0,12.27677934,3.74885845,-4,1,NA,342970,0,2.143778766
36,Canada,Canada,CAN,North America,21.80166365,47770.41561,NA,6.906000137,1.5,1.274698,1.886581,Maintain,0,20.87782513,10.68328094,10,3,73,135890,0,0.038191728
37,Cayman Islands,Cayman Islands,CYM,Latin America & Caribbean,39.56509414,67116.93437,NA,NA,NA,1.153418,1.019122,NA,0,NA,NA,NA,NA,NA,10,0,0
38,Central African Republic,Central African Republic,CAF,Sub-Saharan Africa,1.665172192,852.7494264,NA,3.864000082,22,-1.904765,-1.308061,NA,0,14.77679854,5.03434181,0,1,79,7332,0,0
